Messages,Sentiment
How google can invest in airtel... Google also been invested in reliance? It should be conflict?.. Put some light if know,
neha mam what is your opinion on reliance now shush buy or sell ?,
Accumulation is going on . Depending on how many shares will be accumulated the time may vary from a week to months from the time of declaration of results. After accumulation sky is the limit for the share price. Mukesh Ambani is not going...&nbsp,
trip will zoom on Monday some good news may expected for investors,
RIL will go up.....only when MDA wants....till then its a waiting game,
"Sell Reliance 2340, 2325 will be closing today,",
"RIL : Intra Day Target : 2360 , buy call given today in this counter for decent gains today. Buy ...",
"I agree with you. these two stocks are really garbage , gaddha tha jo reliance pe invest kar liya. jab market gir ta hai toh ekdum nichhe dubki laga dega aur aj jab nifty 1.5% upar hai yeh 0.2% upar hai ...",
Reliance along with HDFC Bank both are garbage stock of Nifty and Bank Nifty..... not able to go up and are like dead...,
Afternoon we may see a jump in Reliance as it has not reacted to the 3rd quarter result so far ....,
Momentum in this script with good moving average keep in watch list for more info v.gd/GjmAyK,
market is following news based actions. Now everybody is after LIC HSG FIN. Time will come for Reliance also. Then it will zoom,
no impact of result still today... whats going on!?? or operators game!?,
no impact of result still...what is going on,
JUSTIN: CHINA TO ANNOUNCE SANCTIONS FOR US GOOD TODAY.,
Today it will fly boom boom ,
Buy winpro available at cheap price now buy more new management taking good actions now,
just hopd dont be panic ok profit hote hi nikal lena hai..wait mt krna aurr uparr jaegaa,
Neha you never gave sell call. ur last call in ril was day before for a chillar 25-30 rupees bounceback after a 150 point fall from. 2600-2450. you could have given similar call today as well lol. ril has given 300 points on shorts in one w...&nbsp,
buy ril near 2340-2370..... stop loss 2260..... good return will come.,
kisi ke pass 100  ho to 1 dan krne se us pe koi fark pdega kya ?? public kyu ghabra rhi he invest krne se ... future or reliance ki deal bhi veshi hi he .. karod ki company ki 25000 ki deal reliance pahle se hi duniya ke big bull ke s...&nbsp,
multibagger 2022 5G Indus tower 600 target buy hold blast,
2/3 sessions.. no need for SL. u will get ur target,
Sina hai MUKESH BHAI NE DUSRI SHADI KAR LI HAI AUR KUCH SHARE USKE NAME KAR DIYE HAI ISS LIYE PRICE DWN JA REHA HAI,
Whats the timeline for hold as per your suggestion.. Any stop loss you suggest,
Bro we have jokers and marketing agents on the forum . Reliance 2600 surely will go but when we expect least . These agents will keep saying 2600-2700 etc daily . Reliance will go 2600 if the following happens 1. Hydrogen policy gets announ...&nbsp,
suna tha aaj reliance 2600 jaega.... Bhai kal ka bhi target bata do,
"Reliance Ind Looking ok now, buying for target 2400",
i bought 10 lots of 3000 call of next month at 5.50 expect 9 by today itself.fingers crossed.,
kya duvidha hai bhai yeh market hai ya chu...jab dekho tab naya tend jaise bhi buy kari niche jata hai jab sale karo tobupar jata hai.kitna kamaye utna gawaye fayda nahi hota.,
Aapka 2700 result day par bhi aa raha tha .. keep dreaming Mukesh bhai dusari nahi laayenge,
Kyon sir ki Mukesh bhai dusri laa rahe hein kya ??,
tmrrow ril will open 2700 and sustain on....buy in crores and hold,
Sir your calls are total failure . 19000 nifty - failed 2800 reliance -failed 40000- bank nifty atleast this did 38800 . Your 8-9 percent today reliance rise failed . You are big failure sir,
"stock being hammered, hence nifty down. buy at these levels for 50 Rs upside tomorrow",
Market always gives superb return to long term holders so fill ur portfolio with long term stocks.,
reliance unable to bring mkt in green kya pressure by fiis ..... intense selling pressure,
This stock is expected to stay on the upward trajectory from a short to medium-term perspective v.gd/GjmAyK,
"with market bear situation RIL may going down below 2200/2100 in short time, stay away for fresh buying now .",
riil can be shorted 25000 rel ke saath jayega 100 rs down .....,
"With a growth in Net Profit of 32.16%, the company declared Very Positive results in Dec 21",
buy feb month nifty at17000 and16800 sl16600 clbsl for600-900points target.. remember too muchvolotility on 1st Feb .. trade in minimum lot .. Jai Hind,
"The supreme court case for gtl infra vs ed arc, gtl infra side case handled by abhishek manu singhvi, which means manoj t has strong support.... bnfs.at/891c",
18000 cr profit c9 shortets hammering and bringing nifty down.....,
Trading is a skill Not a science so stop researching start following.........bnfs.at/891c,
"Friends - Most of the brokerages houses gave 2925-3080 targets for REliance, so must in portfolio and buy on all dips!!",
"good morning all, SGX nifty is trading in deep red. Golden opportunity to build long position for February future",
Steel sector going to see huge upside due to Chinas growing gdp. Keep stocks like tatasteel jswsteel.,
buy ril near 2340-2370..... stop loss 2260..... good return will come.,
its only call writers and big whales keeps the down till the expiry days will bounce back only after tomorrow,
Reliance Industries fundamentally very good stock so keep accumulate at every dip for long turm.,
"Reliance gdr closed 2.10% up also, tomorrow be ready",
Tommorow Reliance will open Gap up and go towards 2450/2470,
It will definitely impact.. . It seems it is falling just in tandem with others and also following its trend of falling everytime after the results. Once market stabilises it is bound to outperform.,
All these 3 reasons appear to be short lived. Reliance is a net debt free company. It is capable of financing its future projects without any external investment. It is also capable of raising funds at cheap rate whenever it is required bec...&nbsp,
Reliance gdr is up 1.9% tomorrow 7-8 % up reliance,
Aapka nifty 19000 aaya ? Bank nifty 40000 ? Hdfc bank 1640 ? Reliance 2800 . All failed tomorrow is expiry,
"Sir impact hua too .. lost 250 points as jio subs went down and also debt fear as starting low profit renewal business . Reliance had fallen from October because of Aramco deal cancel , high investment in renewal with low margin and future ...&nbsp",
saari news ignore bhi kar de to quarter ly results ka impact hona chahiye itna to,
"*Reliance doubles down on media, likely to unveil its big strategy soon* Reliance Industries is doubling down on the media business with a strong push to both broadcasting as well as digital media by inducting marquee investors and launchin...&nbsp",
Saw your old messages you were seeing 19000 and 40000 . Go on sir keep doing gaap baazi,
"highest ever profit to hdfc bank ne bhi diya tha, uske saath kya hua",
"Future group nothing happened yet , 12000 crore viocom18 is exiting not reliance and investment is via Tv18 . 3 billion investment still trying to source so no news and no 2600",
"kitni news hogi 1 din me future retail , investment in reliance news 18 12000 crore, confirm opening above 2600",
RIL with EPS of 120-130 2 years forward at 30 PE ( world PE is rising ) shall trade 3400-3600 in next 12 months ..,
HDFC very strong on charts and technical suggest to buy for Rs.2600,
Never depend on single income. Make investment to create second source,
Positive movement expected due to high delivery percentage accumulate for more info v.gd/GjmAyK,
ITS RIGHT TIME TO ADD IN PORTFOLIO FOR GOOD RETURN,
HDFCBANK GOOD FUNDEMATAL STRONG TECHNICAL KEEP HOLD FOR 1480-1500-1550 SL 1440 LIVE LEVELS MORE ATi! in AAR FOR SWING LIVE LEVELS MORE AT v.gd/2OfFD6,
"Indication a strong price strength, Check RSI. for more info v.gd/GjmAyK",
"ADR is already up. On Monday, this stock may cross 1500. Generally, whenever this stock comes around 1480, it goes up in few sessions. So this stock will go up on Monday.",
I will tell you how to become rich. Close the doors. Be fearful when others are greedy. Be greedy when others are fearful. - By Warren Buffett,
Invest in the stocks of an industry you ve researched thoroughly and be ready to see your investment go low before touching new highs.,
"This stock has high delivery percentage. This stock has a strong support of 1490. Whenever it comes below this level, it goes towards 1500 in few sessions. Easily this stock will cross 1500 and go towards 1520 in few sessions.",
I have taken call of 1500 Feb series in loss of 12 points should I hold or exit,
Worst non performing bank in the pack. Even PSU bank are doing better than this piece of shit.,
"Buy tata steel cmp 1125 and target will Be 1200/1300 soon , For AnyTips OrHelp wtzp... 73OO7 :311 :44",
Fundamentally strong stock add at every dips for long term for more... Queen of future,
why this share falls more than banknifty and rise less than banknifty?,
Looking week From.here so wait for dip and buy more. for more live market updatez tipxz wtzpp on 84454:92O56,
"Tiwari ji, HDFC bank is a junk for the next few quarters. Please avoid and better put your money to productive use by investing in SBI or other PSU banks that are likely to rock in days to come. The working environment in PSU banks has trem...&nbsp",
"Sell hdfc bank 1460, 1450 below closing sure shot",
HDFC Bank is a junk steam less stock for the time being and should not be your choice at all unless you are a day trader. only big brokerages are trapped and they want to offload in bulk on ordinary Indian investors who should better not lo...&nbsp,
HDFC Bank post 1st Feb 22 budget target is 1520...buy buy buy .,
I have taken call of 1500 Feb series in loss of 12 points should I hold or exit,
Worst non performing bank in the pack. Even PSU bank are doing better than this piece of shit.,
"Buy tata steel cmp 1125 and target will Be 1200/1300 soon , For AnyTips OrHelp wtzp... 73OO7 :311 :44",
Fundamentally strong stock add at every dips for long term for more... Queen of future,
why this share falls more than banknifty and rise less than banknifty?,
Looking week From.here so wait for dip and buy more. for more live market updatez tipxz wtzpp on 84454:92O56,
"Tiwari ji, HDFC bank is a junk for the next few quarters. Please avoid and better put your money to productive use by investing in SBI or other PSU banks that are likely to rock in days to come. The working environment in PSU banks has trem...&nbsp",
"Sell hdfc bank 1460, 1450 below closing sure shot",
HDFC Bank is a junk steam less stock for the time being and should not be your choice at all unless you are a day trader. only big brokerages are trapped and they want to offload in bulk on ordinary Indian investors who should better not lo...&nbsp,
HDFC Bank post 1st Feb 22 budget target is 1520...buy buy buy .,
I have taken call of 1500 Feb series in loss of 12 points should I hold or exit,
Worst non performing bank in the pack. Even PSU bank are doing better than this piece of shit.,
"Buy tata steel cmp 1125 and target will Be 1200/1300 soon , For AnyTips OrHelp wtzp... 73OO7 :311 :44",
Fundamentally strong stock add at every dips for long term for more... Queen of future,
why this share falls more than banknifty and rise less than banknifty?,
Looking week From.here so wait for dip and buy more. for more live market updatez tipxz wtzpp on 84454:92O56,
"Tiwari ji, HDFC bank is a junk for the next few quarters. Please avoid and better put your money to productive use by investing in SBI or other PSU banks that are likely to rock in days to come. The working environment in PSU banks has trem...&nbsp",
"Sell hdfc bank 1460, 1450 below closing sure shot",
HDFC Bank is a junk steam less stock for the time being and should not be your choice at all unless you are a day trader. only big brokerages are trapped and they want to offload in bulk on ordinary Indian investors who should better not lo...&nbsp,
HDFC Bank post 1st Feb 22 budget target is 1520...buy buy buy .,
I have taken call of 1500 Feb series in loss of 12 points should I hold or exit,
Worst non performing bank in the pack. Even PSU bank are doing better than this piece of shit.,
"Buy tata steel cmp 1125 and target will Be 1200/1300 soon , For AnyTips OrHelp wtzp... 73OO7 :311 :44",
Fundamentally strong stock add at every dips for long term for more... Queen of future,
why this share falls more than banknifty and rise less than banknifty?,
Looking week From.here so wait for dip and buy more. for more live market updatez tipxz wtzpp on 84454:92O56,
"Tiwari ji, HDFC bank is a junk for the next few quarters. Please avoid and better put your money to productive use by investing in SBI or other PSU banks that are likely to rock in days to come. The working environment in PSU banks has trem...&nbsp",
"Sell hdfc bank 1460, 1450 below closing sure shot",
HDFC Bank is a junk steam less stock for the time being and should not be your choice at all unless you are a day trader. only big brokerages are trapped and they want to offload in bulk on ordinary Indian investors who should better not lo...&nbsp,
HDFC Bank post 1st Feb 22 budget target is 1520...buy buy buy .,
.....1446 to 1476 almost hdfc bank almost 30 points and near my second target.... you can book.... enjoy profit with lutery.....,
Fundamentally strong stock add at every dips for long term,
Huge correction done in good fundamentally strong stocks buy in every dips for investment for more info v.gd/GjmAyK,
.....hdfc Bank fut Feb till now 17 points up and near my first target....you can book according your choice else hold for full targets.... enjoy profit with lutery....,
why this duking stock is falling like a Bi*ch.. Any Idea for this fall,
"A very big blast can be seen once fresh days high is made by hdfcbank anytime now. The steeply rise will happen with heavy volumes, better to buy now ( ideal) or conditional buy 1 Rupee more than days high",
target of one month is 1556,
......buy hdfc Bank fut Feb 1446-1437 cbsl 1434 target 1466-1477-1486.......,
"HDFC Bank : Intra day Target : 1448 , buy buy buy buy .....",
For some it might be fundamentally strong but a pro trader should understand the impact of FII and DII too. for more info v.gd/GjmAyK,
buy every dip for long term. Things will change sooner. Gem selling cheap,
Any update on why hdfc bank is falling so much?,
Sell Hdfc bank for the Target Of Rs 1150-1250 between timeframe 2 months Nifty comes at 16100 Followed by 17200 and then 15000-15500 Rs ,
pras91 dont joke over here plss 2035 today haahahaa kyu paka rahe ho,
HDFC Bank coming on radar again after 2018 meltdown.,
Buy Hdfc bank at current price target 2535/2560 tommorow,
HDFC BANK CAN TOUCH 1410 FROM THIS PRICE,
For Stocks Quarterly result updates more info v.gd/GjmAyK,
hdfc bank stock running at attractive valuation rally possible till 1515: 1540 :1577,
Fundamentally strong stock add at every dips for long term for more... Queen of future,
buy pnb housing it will blast within a week target 490 rs.,
Retailer sell on rise in HDFC Bank. Avoid fresh entry on top.,
HDFC Securities system is down. Not able to close Nifty positions. Guys anyone hv the problem,
Entire Bank Nifty is up except HDFC BANK,
"Though every research and brokerage company is recommending Hdfc bank, the stock is not recovering. No one knows when will this go up.",
Buy it is very low level now.. its for long term.. just buy on dips. it will soon go 1600 .. over sell out... so its good to buy now..,
"HDFC bank : intra day target : 1445 , sell sell to make some good money in this counter tday...sell sell ..shorters ,,...shorters ...",
Sound working capital management will be strong point to take this up with proper SL and target for more info v.gd/GjmAyK,
What is wrong with HDFC Bank? With such high targets it should not have gone down.,
For Stocks Quarterly result updates more info v.gd/GjmAyK,
......1448 to 1471 till now hdfc Bank fut 23 points till now....you can book according your choice else hold for full targets..... enjoy profit with lutery......,
"Friend the game has began. Till budget no doubt hefy returns can be expected, Even for the day windfall profits ( far above yesterdays close i mean) can be expected.",
"Anytime now hdfcbank will createa fresh days high ( after continued correction for days , Yesterday from the lows USA have rusen 5 percent) conditional buy above current days high for a windfall",
....buy hdfc Bank fut 1448-1444 cbsl 1437 target 1484-1494-1504......,
Adani is starting Electric Vehicles manufacturing . Buy Adani Enterprise for 20 % PROFITS .,
Best time for investment in pharma more detls. DONT MISS THIS,
"Remember corrections in market are temporary, growth is permanent use dips as buying opportunity for more info v.gd/GjmAyK",
Huge correction done in good fundamentally strong stocks buy in every dips for investment for more info v.gd/GjmAyK,
Tommorow HDFC bank will give positive move target 1530/1550 good to buy for long term l,
Lots of fraud cases going to log against HDFC Bank. It may be soon another Yes Bank. Hope as a good and safe investor you will remove your precious earned money from HDFC Bank Ltd. instead of seeing it at Rs 15-20.,
may BUY PNB....Punjab National Bank for trade & investment ....now available at Rs. 38 level......,
Short selling for the purpose of education purpose and buying at low price,
HDFC Bank unveils unique fixed deposits with merchant offers worth Rs 7500.,
"HDFC Bank : Intra Day Target : 1505 , buy buy buy call given today for decent intra day business profits.",
Unlikely scenario analysis developed strong analytical skills developed strong. How? ..........bnfs.at/891c,
Fundamentally strong stock add at every dips for long term for more... bnfs.at/891c,
.....buy hdfc Bank fut 1505.50-1500 cbsl 1494 target 1520.50-1528-1535.50.........,
To know the stocks details and updates for more info v.gd/GjmAyK,
"Taking advantage of overdue correction in IT stocks expect pharma, bank and metal stocks to shoot up which are available at beaten down prices. Bank nifty, pharma index and metal index to shoot up",
Exactly moving as predicted..Now time to go long keeping strict sl 1480 CB for target 1535 & 1550..Long term can hold for target 1650 plus,
The weekly momentum indicator has triggered a bullish crossover. However The RSI factor should be considered to analyse the Entry point.for more info v.gd/GjmAyK,
HDFC real estate PE arm HDFC Capital to invest $2 billion in affordable housing ecosystem - 22/01/2022,
Sugar stocks have been in focus as the government brought forward the target date for achieving 20 percent ethanol-blending with petrol by two years to 2023.,
as per Open interest data and PCR ratio suggesting monday market will be in huge height buy huge opening and supported by all global indexes and sgx nifty is green..buy as much as u can..,
Sound working capital management will be strong point to take this up with proper SL and target for more info v.gd/GjmAyK,
Unlikely scenario analysis developed strong analytical skills developed strong. How? ..........bnfs.at/891c,
Growth oriented stocks will be accumulated heavily by fiis and diis. Full list available bnfs.at/891c,
Positive movement expected due to high delivery percentage accumulate for more info v.gd/GjmAyK,
For Stocks Quarterly result updates more info v.gd/GjmAyK,
"Telle grm Profit_Junction : ZEEL is near to its support level of 333, making it little weak. buy only abv next resistance of 342 for next tgt of 365 soon. I give freee intrdy sugggestions in my Tellee grm Profit_Junction",
"ONGC looking strong buy, accumulate at all dips for Rs.180 Targets",
Today infy adr closed at 3.90% positive. Monday 5%upside move will be seen..,
ADR is up. More importantly many IT stocks in US have moved up. We may expect infosys to go towards 1800-1900 range soon.,
"if certain sectors are not nurtured and financial flows are not maintained to these, there could be a risk of these businesses reaching a no-returns stage and thus an erosion in the supply-side of the economy.",
"Acknowledging that the second wave of COVID-19 infections in India have led to worsening of growth signals, the RBI has brought down its growth forecast for FY22 to 9.5 percent from 10.5 percent",
ADR$ 22.66 x75.02 RS =1699RS SO 1725/130 CAN BE THE PRICE EXPECTED .AND IF SELLING DONT COME IN NIFTY THEN MAXIMUM UPSIDE CAN B 1749/1752,
"Can Infosys go to previous level 1900 upto budget or in budget week .Anybody can throw light on my views I am expecting old levels of Infosys and TCS very soon ,looking to delivery volume in last 10days of Infosys and TCS.Only positive news...&nbsp",
"if index options are your cup of tea, for profits remember",
"76 lakhs total deliverables quantity, smart peoples accumulated this jams.",
"INFY, TCS, Infoedge are few of the IT sector stocks that you wont ever regret but only if bought at the right entry point. for more info v.gd/GjmAyK",
"INFY, TCS, Infoedge are few of the IT sector stocks that you wont ever regret but only if bought at the right entry point. for more info v.gd/GjmAyK",
this month will be of consolidation and accumulation .,
"MONEY WILL AND WILL HAVE TO COME IN TECHIES,APPLE  SURGE 7% IN NASDAQ.",
LETS SEE IF CLOSE ABOVE FRIDAYS HIGH 1727 .AND CLOSE ABOVE IT.,
"IT is the sector to invest other than those which are not profit making like Paytm, Zomatoes kind unless one is absolutely sure. For IT services companies like Infy, Coforge, HCL Tech, TCS etc earnings visibility is extremely strong. Furthe...&nbsp",
buy above infy.. good entry level.............,
INFOSYS SHORT COVERING GOOD FUNDAMENTAL KEEP ACCUMULATE AT DIPS...,
AS I WROTE THIS NOON THAT ADR WILL GO HIGH IF INFY GOES HIGH HERE IT IS3.30%UP HOPE WILL BE MUCH ABOVE WITH CLOSING BELL ,
Monday buy infy open price 1756 and tgt 1799 today Eod,
Adr price 2.6% up.Next week starting monday IT stocks will rally lead by Wipro,
"INFY, TCS, Infoedge are few of the IT sector stocks that you wont ever regret but only if bought at the right entry point. for more info v.gd/GjmAyK",
this month will be of consolidation and accumulation .,
"MONEY WILL AND WILL HAVE TO COME IN TECHIES,APPLE  SURGE 7% IN NASDAQ.",
LETS SEE IF CLOSE ABOVE FRIDAYS HIGH 1727 .AND CLOSE ABOVE IT.,
"IT is the sector to invest other than those which are not profit making like Paytm, Zomatoes kind unless one is absolutely sure. For IT services companies like Infy, Coforge, HCL Tech, TCS etc earnings visibility is extremely strong. Furthe...&nbsp",
buy above infy.. good entry level.............,
INFOSYS SHORT COVERING GOOD FUNDAMENTAL KEEP ACCUMULATE AT DIPS...,
AS I WROTE THIS NOON THAT ADR WILL GO HIGH IF INFY GOES HIGH HERE IT IS3.30%UP HOPE WILL BE MUCH ABOVE WITH CLOSING BELL ,
Monday buy infy open price 1756 and tgt 1799 today Eod,
Adr price 2.6% up.Next week starting monday IT stocks will rally lead by Wipro,
"INFY, TCS, Infoedge are few of the IT sector stocks that you wont ever regret but only if bought at the right entry point. for more info v.gd/GjmAyK",
this month will be of consolidation and accumulation .,
"MONEY WILL AND WILL HAVE TO COME IN TECHIES,APPLE  SURGE 7% IN NASDAQ.",
LETS SEE IF CLOSE ABOVE FRIDAYS HIGH 1727 .AND CLOSE ABOVE IT.,
"IT is the sector to invest other than those which are not profit making like Paytm, Zomatoes kind unless one is absolutely sure. For IT services companies like Infy, Coforge, HCL Tech, TCS etc earnings visibility is extremely strong. Furthe...&nbsp",
buy above infy.. good entry level.............,
INFOSYS SHORT COVERING GOOD FUNDAMENTAL KEEP ACCUMULATE AT DIPS...,
AS I WROTE THIS NOON THAT ADR WILL GO HIGH IF INFY GOES HIGH HERE IT IS3.30%UP HOPE WILL BE MUCH ABOVE WITH CLOSING BELL ,
Monday buy infy open price 1756 and tgt 1799 today Eod,
Adr price 2.6% up.Next week starting monday IT stocks will rally lead by Wipro,
"INFY, TCS, Infoedge are few of the IT sector stocks that you wont ever regret but only if bought at the right entry point. for more info v.gd/GjmAyK",
this month will be of consolidation and accumulation .,
"MONEY WILL AND WILL HAVE TO COME IN TECHIES,APPLE  SURGE 7% IN NASDAQ.",
LETS SEE IF CLOSE ABOVE FRIDAYS HIGH 1727 .AND CLOSE ABOVE IT.,
"IT is the sector to invest other than those which are not profit making like Paytm, Zomatoes kind unless one is absolutely sure. For IT services companies like Infy, Coforge, HCL Tech, TCS etc earnings visibility is extremely strong. Furthe...&nbsp",
buy above infy.. good entry level.............,
INFOSYS SHORT COVERING GOOD FUNDAMENTAL KEEP ACCUMULATE AT DIPS...,
AS I WROTE THIS NOON THAT ADR WILL GO HIGH IF INFY GOES HIGH HERE IT IS3.30%UP HOPE WILL BE MUCH ABOVE WITH CLOSING BELL ,
Monday buy infy open price 1756 and tgt 1799 today Eod,
Adr price 2.6% up.Next week starting monday IT stocks will rally lead by Wipro,
Buy it for investment purposes having strong fundamentals,
"one more buying opportunity for infy, this stock looking very much reasonable, safest stock for investment, big target received by brokerage firms, grab it now, target 2000.",
C N BC A WAJ PENALYST GAVE BUY CALL FOR EIGHTEEN HUNDRED WITH SL BELOW SEVENTEEN HUNDRED SL HIT.,
"Dow can crack to 33600 and below, India market to follow the suit in second half",
"TOMORROW IS SATURDAY AND MKT WILL BE OPEN FOR U ONLY,",
"This stock may give you 2x,3x return this year for sure... very bullish on technical chart....",
"Infosys : Intra Day Target : 1730 , buy call given today ...for sure-shots profits. Nifty IT looking stronger today.",
"in short time infy may par 1750, if par and sustain then this stock shoot up more high upto 1900/2000....buy immediately this super IT stock now.",
in couple of weeks should cross Rs 1800 . .,
looks like this stovkbis reversing from oversold position. Once 1730vis taken out then Rs 1767 1770 will be seen.,
highly corrected. might see the same level next week. should immediately buy without any delay.,
Is the trend today going to be upside? Or this is just a trickery of nature!,
"Good opening, hope the stint continues for longer. Go infy go!",
"grab infy fast , not much incresed yet , but all gives 2000 target so great chance to enter now.",
.....1685 to 1705 till now 20 points in infoyses fut rollover it in Feb contract your final target is 1820 with cbsl of 1650.....or you can book according your choice too.... enjoy profit with lutery.....,
"MKT FAVOURITE TECH STOCKS ARE NOW  TOUCHABLE STOCKS,THIS SHOWS THE HUMAN NATURE KITNA MATLABI HOTA HAI INSAAN",
TECH STOCKS CAN GO 4/5% ON EITHER SIDE.HOWEVER2/3 % SLIDE IS HAPPENING EVERY DAY.SOME TIME FROM NOW THE TREND WILL CHANGE TO UPSIDE.,
Carnage Battering if high value stocks continues in USA. Nasdaq down 1.4 percent again. Analysts say 8 percent more expected. Till the carnage in USA doesnt stop no hope for high PE stocks in India.,
"INFY, TCS, Infoedge are few of the IT sector stocks that you wont ever regret but only if bought at the right entry point. for more info v.gd/GjmAyK",
"SOME HOPE TODAY AS APPLE  SHARES ROSE 3,% ON GOOD RESULTS ON CHIP SHORTAGE",
how so sure ? agar laga to man jaunga sir apke study ko,
Shekhar mandaiye ab infy neeche nahin jaana ab se upper hi jaana hai teri lanka lagegi ab jaldi se apne shorts cover kar le dodo.,
"INFY, TCS, Infoedge are few of the IT sector stocks that you wont ever regret but only if bought at the right entry point. for more info v.gd/GjmAyK",
Kal se Infy mein UC lagne wala hai. This subha 11:17 bajey UC lagne wala hai. subha maal utha lena mitron,
"After very good Q3 result, infosys is down. It is the best time to enter. Nastaq IT stocks are moving up today. Tomorrow, infosys may cross 1700 and go towards 1800.",
Huge short buildup for Feb and March expiry and Long unwinding for Jan expiry in Infy. Fut. during last 7 consequent trading sessions has increased the selling pressure substantially. This situation cannot continue more in the stock like In...&nbsp,
Never depend on single income. Make investment to create second source for more info.. Queen of future,
so Unprecedented for Long term most likely to confirm acceptance change the game bnfs.at/ryxp,
I think the international markets have already gone down to a point of return.,
Infy here and ADR there are competing each other on who can go down than the other.,
"What a great opportunity to buy IT gems like Infy, HCL Tech and Wipro at such a low level. From tomorrow, there will be a trend reversal in IT stocks.",
"INFY, TCS, Infoedge are few of the IT sector stocks that you wont ever regret but only if bought at the right entry point. for more info v.gd/GjmAyK",
stock is a very good choice to your portfolio ...buy at current levels for Good investment.,
For Infosys this level will never come again. Upward rally from tomorrow will astonish everyone. Immediately buy in bulk and relax,
: Wipro is a must add in portfolio of both investors and retailers.,
": Wipro is the most under owned stock when it comes to large cap IT names. Always keep Wipro in your portfolio once the Nifty IT index bounces back after budget on 1st feb , Wipro will be the 1st to gain advantage on the upside as it has co...&nbsp",
"INFY, TCS, Infoedge are few of the IT sector stocks that you wont ever regret but only if bought at the right entry point. for more info v.gd/GjmAyK",
BHEL is a must buy stock and target of Rs.75 by tomorrow,
Infosys announces a CSR collaboration with Tennis Australia,
"Infosys allots 19,875 equity shares under ESOP",
........buy Infosys fut 1685-1660 cbsl 1650 target 1745-1760-1785.........,
"CONTINUOUS SELLING,LIC IS SELLING HEAVILY.NOT A SINGLE DAY CLOSED HIGHER THAN PREVIOUS DAY HIGH.VERY BAD",
"DELIVERY BASED BUYING IS GOING ON ON LOW VALUATIONS.PEOPLE HAVE GREAT FAITH IN INFOSYS & ,TCS.",
IT Sector will recover buy on dip on every low,
Trading is a skill Not a science so stop researching start following.........bnfs.at/891c,
The zeel of trading comes with Red color in our portfolio to make it Green & Positive results Come ....bnfs.at/891c,
buy buy in SIP and add this in your portfolio as the market recovers the stock will soon go up .....,
